New Releases For 8/28/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. For more information, go to www.digitalcomicsreader.com.

 
PREVIEWS PUBLICATIONS

JUL130004 	PREVIEWS #300 SEP 2013 CUSTOMER ORDER FORM 	PI
JUL130001 	PREVIEWS #300 SEPTEMBER 2013 [DIG/P+] 	$4.50
 
PREMIER PUBLISHERS

DARK HORSE COMICS

JUN130025 	ANGEL & FAITH #25 STEVE MORRIS CVR 	$2.99
JUN130039 	CAPTAIN MIDNIGHT #2 	$2.99
APR130077 	CRIME DOES NOT PAY ARCHIVES HC VOL 05 	$49.99
JUN130027 	ITTY BITTY HELLBOY #1 	$2.99
JUN130057 	KING CONAN HOUR O/T DRAGON #4 	$3.50
JUN138070 	LAST OF US AMERICAN DREAMS #1 (3RD PTG) 	$3.99
JUN130010 	MASS EFFECT FOUNDATION #2 	$3.99
JUN130047 	MASSIVE #15 	$3.50
JUN130045 	MIND MGMT #14 	$3.99
APR130027 	NUMBER 13 TP 	$15.99
APR130065 	SAVAGE SWORD OF CONAN TP VOL 14 	$19.99
JUN130019 	STAR WARS LEGACY II #6 	$2.99
JUN130035 	STATION TO STATION ONE SHOT 	$2.99

DC COMICS

FEB130216 	ABSOLUTE SUPERMAN BATMAN HC VOL 01 	$99.99
JUN130249 	ADVENTURES OF SUPERMAN #4 	$3.99
JUN130230 	ALL STAR WESTERN #23 	$3.99
JUN130292 	AMERICAN VAMPIRE ANTHOLOGY #1 (MR) 	$7.99
JUN130163 	AQUAMAN #23 	$2.99
JUN130197 	BATMAN INCORPORATED SPECIAL #1 	$4.99
JUN130193 	BATMAN SUPERMAN #3 	$3.99
JUN130196 	BATMAN SUPERMAN #3 COMBO PACK 	$4.99
JUN130207 	BATMAN THE DARK KNIGHT #23 	$2.99
JUN130215 	CATWOMAN #23 	$2.99
APR130253 	FABLES DELUXE EDITION HC VOL 07 (MR) 	$29.99
JUN130296 	FBP FEDERAL BUREAU OF PHYSICS #2 (MR) 	$2.99
JUN130169 	FLASH #23 	$2.99
JUN130232 	GREEN TEAM TEEN TRILLIONAIRES #4 	$2.99
MAY130258 	HELLBLAZER TP VOL 06 (MR) 	$19.99
JUN130244 	INJUSTICE GODS AMONG US #8 	$3.99
MAY130232 	JACK KIRBYS OMAC ONE MAN ARMY CORPS TP 	$19.99
JUN130154 	JUSTICE LEAGUE #23 (TRINITY) 	$3.99
